"id","source","registration_date","device","country_code","city"
1,Organic,2024-01-11,iOS,US,New York
2,Organic,2024-02-17,iOS,KZ,Almaty
3,Organic,2024-02-05,Android,RU,Kazan
4,Organic,2024-01-30,Android,KZ,Shymkent
5,Organic,2024-01-06,iOS,GB,Birmingham
6,Organic,2024-01-25,Android,US,Los Angeles
7,Organic,2024-02-09,Android,GB,London
8,Organic,2024-01-25,iOS,GB,Birmingham
9,Organic,2024-01-04,iOS,GB,London
10,Organic,2024-02-03,Android,GB,London
11,Organic,2024-02-06,iOS,RU,Moscow
12,Organic,2024-02-13,Android,KZ,Shymkent
13,Organic,2024-01-12,iOS,DE,Berlin
14,Organic,2024-01-02,iOS,US,Chicago
15,Organic,2024-03-01,iOS,RU,Moscow
16,Organic,2024-01-07,Android,KZ,Shymkent
17,Organic,2024-02-29,Android,KZ,Shymkent
18,Organic,2024-01-31,iOS,RU,Kazan
19,Organic,2024-02-13,Android,GB,Manchester
20,Organic,2024-01-11,iOS,DE,Munich
21,Organic,2024-01-25,iOS,DE,Hamburg
22,Organic,2024-02-11,Android,DE,Berlin
23,Organic,2024-02-05,iOS,US,Los Angeles
24,Organic,2024-02-07,iOS,RU,Kazan
25,Organic,2024-01-03,Android,GB,Manchester
26,Organic,2024-01-03,Android,US,Chicago
27,Organic,2024-02-14,iOS,GB,London
28,Organic,2024-01-05,Android,RU,Kazan
29,Organic,2024-01-08,iOS,KZ,Astana
30,Organic,2024-01-04,iOS,KZ,Almaty
31,Organic,2024-01-10,iOS,DE,Hamburg
32,Organic,2024-02-06,iOS,KZ,Shymkent
33,Organic,2024-01-03,Android,US,Los Angeles
34,Organic,2024-02-24,Android,KZ,Astana
35,Organic,2024-01-16,iOS,US,Chicago
36,Organic,2024-01-03,iOS,KZ,Almaty
37,Organic,2024-01-17,iOS,KZ,Astana
38,Organic,2024-01-21,iOS,RU,Kazan
39,Organic,2024-02-03,Android,US,New York
40,Organic,2024-02-06,Android,US,Chicago
41,Organic,2024-01-28,Android,RU,Moscow
42,Organic,2024-01-27,iOS,RU,Kazan
43,Organic,2024-02-01,Android,US,Los Angeles
44,Organic,2024-01-19,Android,KZ,Almaty
45,Organic,2024-01-28,Android,KZ,Shymkent
46,Organic,2024-02-03,iOS,KZ,Astana
47,Organic,2024-02-25,Android,US,Chicago
48,Organic,2024-01-17,Android,KZ,Almaty
49,Organic,2024-03-01,Android,RU,Kazan
50,Organic,2024-02-29,iOS,GB,Manchester
51,Organic,2024-01-05,Android,DE,Hamburg
52,Organic,2024-02-14,iOS,KZ,Astana
53,Organic,2024-02-03,Android,RU,Saint Petersburg
54,Organic,2024-02-20,Android,GB,London
55,Organic,2024-01-09,iOS,DE,Berlin
56,Organic,2024-01-02,Android,GB,Manchester
57,Organic,2024-02-06,iOS,DE,Berlin
58,Organic,2024-02-14,iOS,KZ,Shymkent
59,Organic,2024-01-09,Android,KZ,Shymkent
60,Organic,2024-02-19,iOS,GB,Manchester
61,Organic,2024-01-28,Android,RU,Kazan
62,Organic,2024-01-07,Android,GB,Manchester
63,Organic,2024-01-06,Android,KZ,Almaty
64,Organic,2024-02-09,Android,RU,Moscow
65,Organic,2024-02-06,Android,US,Los Angeles
66,Organic,2024-02-23,Android,DE,Munich
67,Organic,2024-02-04,iOS,GB,Birmingham
68,Organic,2024-02-23,iOS,US,New York
69,Organic,2024-02-13,iOS,RU,Moscow
70,Organic,2024-01-20,Android,KZ,Almaty
71,Organic,2024-01-30,Android,US,Chicago
72,Organic,2024-01-06,Android,US,Chicago
73,Organic,2024-01-18,Android,GB,London
74,Organic,2024-02-23,iOS,KZ,Shymkent
75,Organic,2024-02-26,Android,GB,Manchester
76,Organic,2024-01-22,iOS,KZ,Almaty
77,Organic,2024-01-24,Android,RU,Saint Petersburg
78,Organic,2024-02-01,iOS,US,Los Angeles
79,Organic,2024-01-29,iOS,KZ,Astana
80,Organic,2024-01-22,iOS,DE,Munich
81,Organic,2024-02-10,iOS,DE,Berlin
82,Organic,2024-02-03,iOS,RU,Saint Petersburg
83,Organic,2024-02-24,iOS,GB,Manchester
84,Organic,2024-02-01,Android,RU,Saint Petersburg
85,Organic,2024-02-08,Android,RU,Kazan
86,Organic,2024-01-14,Android,GB,Birmingham
87,Organic,2024-01-12,iOS,GB,Manchester
88,Organic,2024-02-09,Android,GB,London
89,Organic,2024-01-28,iOS,KZ,Shymkent
90,Organic,2024-02-05,Android,KZ,Almaty
91,Organic,2024-01-18,iOS,DE,Hamburg
92,Organic,2024-02-22,iOS,RU,Saint Petersburg
93,Organic,2024-01-12,iOS,GB,London
94,Organic,2024-02-13,iOS,US,Chicago
95,Organic,2024-01-24,Android,US,New York
96,Organic,2024-01-16,iOS,GB,Manchester
97,Organic,2024-02-17,iOS,RU,Moscow
98,Organic,2024-02-26,iOS,GB,Manchester
99,Organic,2024-02-27,Android,US,Los Angeles
100,Organic,2024-01-15,iOS,DE,Berlin
101,Organic,2024-01-27,Android,KZ,Almaty
102,Organic,2024-01-28,Android,RU,Saint Petersburg
103,Organic,2024-01-15,iOS,DE,Munich
104,Organic,2024-01-29,iOS,RU,Moscow
105,Organic,2024-01-01,Android,RU,Moscow
106,Organic,2024-02-04,iOS,US,Los Angeles
107,Organic,2024-01-04,iOS,GB,Manchester
108,Organic,2024-02-06,Android,DE,Berlin
109,Organic,2024-01-01,Android,KZ,Almaty
110,Organic,2024-02-21,iOS,DE,Berlin
111,Organic,2024-01-26,Android,GB,Manchester
112,Organic,2024-02-09,Android,DE,Munich
113,Organic,2024-02-23,Android,RU,Saint Petersburg
114,Organic,2024-01-21,iOS,US,New York
115,Organic,2024-02-23,Android,US,Los Angeles
116,Organic,2024-02-10,Android,DE,Munich
117,Organic,2024-01-23,iOS,GB,Birmingham
118,Organic,2024-01-22,iOS,US,New York
119,Organic,2024-01-27,Android,GB,London
120,Organic,2024-01-20,iOS,RU,Kazan
121,Organic,2024-02-04,iOS,KZ,Almaty
122,Organic,2024-02-13,iOS,DE,Berlin
123,Organic,2024-01-26,iOS,KZ,Astana
124,Organic,2024-01-04,iOS,DE,Berlin
125,Organic,2024-01-29,Android,KZ,Almaty
126,Organic,2024-01-17,Android,RU,Moscow
127,Organic,2024-01-30,iOS,KZ,Shymkent
128,Organic,2024-01-08,Android,GB,Birmingham
129,Organic,2024-01-11,iOS,US,New York
130,Organic,2024-02-05,iOS,KZ,Astana
131,Organic,2024-01-02,Android,KZ,Almaty
132,Organic,2024-01-26,Android,RU,Saint Petersburg
133,Organic,2024-01-08,iOS,DE,Hamburg
134,Organic,2024-01-31,iOS,KZ,Astana
135,Organic,2024-01-18,Android,RU,Moscow
136,Organic,2024-01-26,iOS,GB,London
137,Organic,2024-01-21,Android,RU,Saint Petersburg
138,Organic,2024-02-05,iOS,KZ,Astana
139,Organic,2024-02-05,iOS,US,Los Angeles
140,Organic,2024-01-15,Android,DE,Hamburg
141,Organic,2024-02-29,Android,RU,Moscow
142,Organic,2024-01-03,Android,DE,Munich
143,Organic,2024-01-25,iOS,GB,Manchester
144,Organic,2024-02-14,Android,GB,London
145,Organic,2024-02-04,iOS,DE,Hamburg
146,Organic,2024-01-25,iOS,KZ,Almaty
147,Organic,2024-01-03,iOS,GB,London
148,Organic,2024-01-03,iOS,KZ,Shymkent
149,Organic,2024-01-08,iOS,US,Los Angeles
150,Organic,2024-01-25,iOS,DE,Hamburg
151,Organic,2024-01-31,iOS,RU,Saint Petersburg
